,km_driven,selling_price,brand_BMW,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Mahindra,brand_Maruti,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,fuel_Diesel,fuel_Petrol,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Third Owner
0,145500,450000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,120000,370000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2,140000,158000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,127000,225000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4,120000,130000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,45000,440000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
6,175000,96000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,5000,45000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
8,90000,350000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
9,169000,200000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,68000,500000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
11,100000,92000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
12,140000,280000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
13,80000,200000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
14,90000,180000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
15,40000,400000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
16,70000,778000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
17,53000,500000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18,80000,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19,100000,680000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
20,100000,174000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
21,50000,950000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22,40000,525000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
23,72000,600000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
24,35000,500000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
25,45000,575000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
26,28000,275000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
27,70000,300000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,120000,220000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29,25000,254999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
30,70000,670000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
31,50000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
32,35000,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
33,2388,730000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
34,16200,650000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,10000,330000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,15000,366000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
37,5000,1149000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
38,42000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,60000,425000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
40,76000,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
41,5000,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
42,28900,925000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43,86300,425000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44,23300,675000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
45,32600,819999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
46,10300,390000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
47,77000,1500000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
48,99000,700000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
49,27800,1450000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,49800,425000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
51,151000,1090000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,54700,600000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53,64000,850000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
54,63000,525000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
55,127700,1650000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
56,99000,950000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
57,33900,1750000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,25000,1590000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
59,50000,1689999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,59000,1425000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
61,120000,265000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
62,110000,190000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
63,60000,425000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
64,147000,630000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
65,25000,600000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,30000,650000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
67,40000,540000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
68,135000,630000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
69,30000,448000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
70,80000,500000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
71,70000,745000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
72,9850,1025000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
73,60000,235000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
74,70000,630000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
75,78000,1700000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
76,120000,450000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
77,120000,450000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
78,70000,50000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
79,170000,450000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
80,140000,1200000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
81,90000,610000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
82,30000,2500000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
83,10000,484999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
84,49000,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
85,32000,315000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
86,38000,275000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
87,78000,475000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
88,28000,290000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
89,32000,280000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
90,44000,225000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
91,42000,455000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
92,45000,351000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
93,12000,535000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
94,55500,175000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
95,61500,525000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
96,150000,600000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
97,72000,565000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
98,68000,120000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
99,110000,725000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
100,77000,185000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
101,100000,200000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
102,10000,615000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
103,100000,270000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
